Linux 6.16.0-rc3-lizhijian-promotion+ (slse16b4) 	06/27/25 	_x86_64_	(4 CPU)

09:41:07     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
09:41:08         4.00      0.00 263131.00      0.00 884416.00      0.00      0.00      0.00 131068.00      0.00
09:41:09      9408.00      0.00 132724.00      5.00  65693.00      0.00      0.00      0.00  65538.00      0.00
09:41:10         0.00      0.00  95473.27      0.00  47738.61      0.00      0.00      0.00  47739.60      0.00
09:41:11         0.00      0.00      0.00      0.00     10.00      0.00      0.00      0.00      0.00      0.00
09:41:12         0.00      0.00 203105.00      0.00 101553.00      0.00      0.00      0.00 101525.00      0.00
09:41:13         0.00      0.00 361673.00      0.00 218084.00 502573.00      0.00 155580.00 140144.00  77766.00
09:41:14        16.00     68.00 174954.00      0.00  88589.00 481511.00      0.00  84542.00  44902.00  42251.00
09:41:15         0.00      0.00      0.00      0.00      2.00      0.00      0.00      0.00     24.00     44.00
09:41:16         0.00      0.00      2.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00
09:41:17        96.00    744.00 120163.00      1.00  37985.00 254773.00      0.00  41480.00  16740.00  20732.00
09:41:18         0.00      0.00 118615.00      0.00   5270.00 158672.00      0.00     16.00   5232.00     16.00
09:41:19         0.00      0.00  12655.00      0.00   2050.00      0.00      0.00      0.00      0.00      0.00
09:41:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:41:21         0.00      0.00 101659.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00
09:41:22         0.00      0.00  88129.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00
09:41:23         0.00      0.00  17534.00      0.00      5.00      0.00      0.00      0.00      1.00      0.00
09:41:24         0.00      0.00 111827.00      0.00  10170.00      0.00      0.00      0.00  10139.00      0.00
09:41:25         0.00      0.00  95035.00      0.00      2.00      0.00      0.00      0.00     33.00      0.00
09:41:26         0.00      0.00  10624.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:41:27         0.00      0.00  16098.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
09:41:28         0.00      0.00  75389.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00
09:41:29        16.00    324.00 112953.00      0.00  24420.00  56774.00      0.00  22804.00   7285.00  11395.00
09:41:30         0.00      0.00      0.00      0.00      5.00      0.00      0.00      0.00      9.00      7.00
09:41:31        32.00   1512.00      0.00      0.00    137.00      0.00      0.00      0.00      0.00      0.00
09:41:32         0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00
09:41:33         0.00      0.00      0.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00
09:41:34         0.00      0.00  22925.00      0.00  21613.00 102551.00      0.00  19726.00  11269.00   9863.00
09:41:35         0.00      0.00 157174.00      0.00 117044.00 156160.00      0.00 112078.00  60955.00  56039.00
09:41:36         0.00    444.00 269652.00      0.00 229250.00 399168.00      0.00 228526.00 114764.00 114239.00
09:41:37         0.00      0.00  13398.00      0.00   9059.00  65598.00      0.00  11254.00   3368.00   5651.00
