Linux 6.16.0-rc3-lizhijian-promotion-nopatch+ (slse16b4) 	06/27/25 	_x86_64_	(4 CPU)

10:23:08     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
10:23:09         0.00      0.00 131198.00      0.00 630314.00      0.00      0.00      0.00  65517.00      0.00
10:23:10         0.00      0.00 131074.00      0.00  65542.00      0.00      0.00      0.00  65555.00      0.00
10:23:11         0.00      0.00 139616.00      0.00  69808.00      0.00      0.00      0.00  69783.00      0.00
10:23:12         0.00      0.00 154216.00      0.00 107770.00      0.00      0.00      0.00 107772.00      0.00
10:23:13         0.00      0.00 261267.00      0.00 116697.00 478996.00      0.00  16754.00 108278.00   8347.00
10:23:14         0.00    432.00  75544.00      0.00  17991.00 418883.00      0.00  12612.00  11307.00   6336.00
10:23:15         0.00      0.00  77044.00      0.00  42824.00  42804.00      0.00  41750.00  20305.00  20852.00
10:23:16         0.00      0.00 108071.00      0.00  65305.00 269151.00      0.00  62720.00  33959.00  31383.00
10:23:17         0.00      0.00  22874.00      0.00  25919.00 249098.00      0.00  35220.00   8314.00  17610.00
10:23:18       128.00   2216.00    873.00      0.00   1563.00      0.00      0.00      0.00    765.00      0.00
10:23:19         0.00    332.67  65565.35      0.00  17118.81 173705.94      0.00   6772.28  13447.52   3374.26
10:23:20         0.00      0.00 114338.00      0.00  97465.00  68573.00      0.00  96258.00  49304.00  48140.00
10:23:21         0.00      0.00  84973.00      0.00  39887.00 227187.00      0.00  28168.00  25787.00  14085.00
10:23:22         0.00      0.00  25677.00      0.00  21161.00 300150.00      0.00  20866.00  10101.00  10429.00
10:23:23         0.00      0.00  94817.00      0.00      0.00      0.00      0.00      0.00      5.00      4.00
10:23:24         0.00      0.00   2892.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
10:23:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:26         0.00      0.00  38486.00      0.00     25.00      0.00      0.00      0.00      0.00      0.00
10:23:27         0.00      0.00  64242.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:28         0.00      0.00    156.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
10:23:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:30         0.00      0.00 102728.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:31         0.00      0.00    156.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
10:23:32         0.00      0.00  99992.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:23:33         0.00    600.00  12554.00      0.00   4736.00      0.00      0.00      0.00      0.00      0.00
10:23:34         0.00      0.00 102728.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00
10:23:35         0.00      0.00    161.00      0.00     10.00      0.00      0.00      0.00      0.00      0.00
10:23:36         0.00      0.00  99992.00      0.00     48.00      0.00      0.00      0.00      0.00      0.00
10:23:37         0.00      0.00   2892.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
10:23:38         0.00      0.00  99992.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00
